N=1000,graph=ba,method=pearson,r=0.1,beta=0.95,modify_type=hide,dj=0.4,reconstruct_type=srw
k,prec,prec_err,rank,rank_err,css
0,0.37,0.015071844406945043,54.821,4.388221216443451,33.25
399,0.313,0.01449394382978886,63.886,4.594808948506267,43.0
798,0.2605,0.013708063113644505,71.783,4.91783316044719,55.25
1596,0.21383333333333332,0.012759279598886026,80.04,5.091303740082079,71.25
3192,0.16116666666666668,0.01147297506903561,88.116,5.256543711964716,80.0
