N=1000,modify=hide,graph=fb,dj=0.6,method=pearson,r=0.3,beta=0.95
rank,precision
1,1.0
2,0.0
6,0.0
61,0.0
1,1.0
2,0.0
7,0.0
1,1.0
1,1.0
4,0.0
1,1.0
2,0.5
9,0.0
1,1.0
8,0.0
1,1.0
13,0.0
63,0.0
1,1.0
1,1.0
1,1.0
36,0.0
3,0.0
9,0.0
2,0.0
2,0.0
1,1.0
19,0.0
1,1.0
1,1.0
754,0.0
5,0.0
1,1.0
1,1.0
3,0.0
3,0.0
2,0.0
1,1.0
1,1.0
505,0.0
52,0.0
3,0.0
1,1.0
1,1.0
15,0.0
1,1.0
14,0.0
3,0.0
1,1.0
10,0.0
2,0.0
2,0.0
1,1.0
1,0.5
1,1.0
39,0.0
1,1.0
1,1.0
1,1.0
26,0.0
1,1.0
3,0.0
1,1.0
1,1.0
471,0.0
3,0.0
2,0.0
1,1.0
1,1.0
2,0.0
29,0.0
4,0.0
5,0.0
15,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,0.5
1,1.0
13,0.0
1,1.0
8,0.0
445,0.0
1,1.0
1,1.0
18,0.0
6,0.0
10,0.0
1,1.0
680,0.0
1,1.0
2,0.0
6,0.0
1,1.0
3,0.0
3,0.0
7,0.0
1,1.0
3,0.0
3,0.0
2,0.0
2,0.0
600,0.0
13,0.0
1,1.0
1,1.0
127,0.0
3,0.0
26,0.0
14,0.0
7,0.0
1,1.0
2,0.5
2,0.0
1,1.0
35,0.0
4,0.0
3,0.0
8,0.0
1,1.0
16,0.0
7,0.0
5,0.0
1,1.0
1,1.0
1,1.0
5,0.0
1,1.0
1,1.0
185,0.0
1,1.0
38,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
3,0.0
1,1.0
25,0.0
1,1.0
19,0.0
1,0.5
4,0.0
16,0.0
1,1.0
2,0.0
3,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
20,0.0
468,0.0
2,0.5
1,1.0
2,0.5
1,1.0
1,1.0
2,0.0
2,0.0
9,0.0
1,1.0
2,0.0
3,0.0
730,0.0
4,0.0
1,1.0
3,0.0
56,0.0
12,0.0
12,0.0
1,1.0
4,0.0
1,1.0
1,1.0
2,0.0
5,0.0
3,0.0
2,0.0
5,0.0
3,0.0
4,0.0
119,0.0
1,1.0
1,1.0
1,1.0
3,0.0
673,0.0
4,0.0
1,1.0
2,0.0
1,1.0
9,0.0
1,1.0
2,0.0
74,0.0
1,1.0
1,1.0
1,1.0
151,0.0
1,1.0
1,1.0
1,1.0
5,0.0
670,0.0
1,1.0
16,0.0
2,0.0
1,1.0
1,1.0
4,0.0
2,0.0
1,1.0
2,0.0
2,0.0
2,0.0
1,1.0
9,0.0
53,0.0
3,0.0
2,0.0
7,0.0
1,1.0
756,0.0
726,0.0
212,0.0
1,1.0
2,0.0
3,0.0
1,1.0
1,1.0
29,0.0
126,0.0
4,0.0
44,0.0
1,1.0
2,0.0
1,1.0
9,0.0
4,0.0
752,0.0
3,0.0
1,1.0
1,1.0
3,0.0
360,0.0
1,1.0
2,0.0
14,0.0
1,1.0
4,0.0
96,0.0
3,0.0
1,1.0
3,0.0
2,0.0
1,1.0
1,1.0
11,0.0
1,1.0
4,0.0
1,1.0
1,1.0
2,0.0
6,0.0
13,0.0
734,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
370,0.0
1,1.0
9,0.0
11,0.0
287,0.0
3,0.0
1,1.0
1,1.0
1,1.0
23,0.0
1,1.0
2,0.0
7,0.0
1,1.0
9,0.0
1,1.0
1,1.0
1,1.0
2,0.0
1,0.5
1,1.0
1,1.0
7,0.0
15,0.0
1,1.0
651,0.0
1,1.0
5,0.0
4,0.0
1,1.0
4,0.0
3,0.0
9,0.0
1,1.0
1,0.5
1,1.0
8,0.0
4,0.0
449,0.0
1,1.0
1,1.0
2,0.0
4,0.0
2,0.0
13,0.0
1,1.0
