N=1000,graph=ba,method=gmla,r=0.1,beta=0.5,modify_type=hide,dj=0.6,reconstruct_type=srw
k,prec,prec_err,rank,rank_err,css
0,0.0035833333333333333,0.0017787452791508515,644.408,13.148961050695707,925.0
598,0.007833333333333333,0.00270315686874755,647.452,13.070304991413499,925.0
1197,0.014833333333333332,0.0036268771099810136,639.924,13.121253580337491,925.0
2394,0.012833333333333332,0.003494084328112106,626.227,13.209918372738509,925.0
4788,0.01411111111111111,0.003718474051475108,595.344,13.40381990523791,924.0
