N=1000,graph=email,method=lptva,r=0.1,beta=0.95,modify_type=hide,dj=0.4,reconstruct_type=srw
k,prec,prec_err,rank,rank_err,css
0,0.36386666666666667,0.014303207393509394,57.829,5.942508322599485,10.0
545,0.33594999999999997,0.014001191130589478,61.045,5.930915336752982,15.0
1090,0.2766583333333333,0.013325477850988286,66.291,5.996831856181339,20.0
2180,0.21636666666666668,0.012386866252877594,69.939,5.9654904538818405,31.0
4361,0.14214999999999997,0.010638329359046537,77.924,6.1302796471737375,44.0
