N=1000,graph=email,method=pearson,r=0.1,beta=0.75,modify_type=hide,dj=0.6,reconstruct_type=ra
k,prec,prec_err,rank,rank_err,css
0,0.10244999999999999,0.009132263085478636,148.426,8.585049073336249,115.0
818,0.08425,0.008467750998561558,150.535,8.592394195625165,120.75
1635,0.08291666666666665,0.00833540806672054,154.386,8.558186230478722,122.5
3271,0.06416666666666666,0.007566071628284309,160.065,8.643745201364169,139.25
6541,0.06391666666666666,0.007599811779480329,162.334,8.5852160356265,163.0
