N=300,graph=email,method=gmla,r=0.1,beta=0.95,modify_type=hide,dj=0.4,reconstruct_type=srw
k,prec,std_err
545,0.1475,0.020135814870657423
1090,0.15916666666666668,0.02027650510404802
2180,0.16361111111111112,0.02050813954317146
4361,0.11166666666666666,0.017096193191106834
