N=200,graph=ba,method=pearson,r=0.2,beta=0.5,graph_args=Dict(:n0 => 4, :k => 4, :V => 1000),modify_type=add,dj=0.2,reconstruct_type=cn,hide_thresh=201,add_thresh=401
rank,precision,dj
1,1.0,0.2503762227238525
1,1.0,0.29438838732519035
1,1.0,0.3337232620320856
1,1.0,0.3690871697516216
1,1.0,0.39996991576413954
2,0.0,0.42863284608770424
4,0.0,0.4544459644322846
2,0.0,0.4775317699462859
5,0.0,0.4988060826944829
1,1.0,0.5182904744657733
149,0.0,0.5362167189861644
49,0.0,0.5531414492104378
306,0.0,0.5690344902151584
177,0.0,0.5835682221526255
9,0.0,0.5977371451661784
2,0.0,0.6101992966002345
5,0.0,0.6217881862140893
28,0.0,0.6334221895394797
49,0.0,0.6439982150825525
76,0.0,0.6539696312364425
1,1.0,0.6635167060411744
48,0.0,0.6726048764469255
1,1.0,0.6808510638297872
2,0.0,0.6887970042128257
1,1.0,0.6963470319634704
1,1.0,0.7037229694582745
1,1.0,0.71066763425254
1,1.0,0.7173342786246012
1,1.0,0.7238873122447567
1,1.0,0.730097481722177
27,0.0,0.736030190677966
2,0.0,0.7415635727702572
15,0.0,0.7468748017006155
96,0.0,0.7518506998444789
214,0.0,0.7566792729047213
189,0.0,0.7615973218555715
900,0.0,0.7663014822192278
662,0.0,0.7706416743330267
393,0.0,0.774791054890445
655,0.0,0.7789549589527403
941,0.0,0.7828714542385801
261,0.0,0.7867001925957628
181,0.0,0.7903149482096851
151,0.0,0.7938304138893195
323,0.0,0.797153024911032
2,0.0,0.8004202731775654
1,1.0,0.8034781751896738
31,0.0,0.8065282762634591
20,0.0,0.8093758960145274
1,1.0,0.8123204445909669
89,0.0,0.8152299782296539
51,0.0,0.8180283746179462
369,0.0,0.8205947186108237
3,0.0,0.8233052724856004
9,0.0,0.8258211041229909
4,0.0,0.8281330805033615
2,0.0,0.8306294062685806
203,0.0,0.8328095537397863
34,0.0,0.8349884144323072
238,0.0,0.8372112009143604
3,0.0,0.8392878720747573
1,1.0,0.8413683373110581
1,1.0,0.8434174879264988
6,0.0,0.8453844066219517
2,0.0,0.8473609675814292
357,0.0,0.8490979917552286
397,0.0,0.8509565087430877
481,0.0,0.8526587887740029
5,0.0,0.8543795620437956
33,0.0,0.8560239659279578
5,0.0,0.857667879825876
67,0.0,0.8592001694257174
40,0.0,0.8607192737430167
82,0.0,0.8622380278286089
26,0.0,0.8637512811752648
361,0.0,0.865283923926629
88,0.0,0.8667980756381131
450,0.0,0.868228065539112
527,0.0,0.8695765898316168
144,0.0,0.870971916655882
33,0.0,0.8722954807323006
204,0.0,0.873574144486692
8,0.0,0.8748627537095712
53,0.0,0.8760679777549942
241,0.0,0.8772760826771654
643,0.0,0.8784166742846695
248,0.0,0.87952534798756
51,0.0,0.8806247008137865
25,0.0,0.8817513487875733
2,0.0,0.8828125
618,0.0,0.8838908783882145
189,0.0,0.8848906331159462
428,0.0,0.8859087269815853
495,0.0,0.8869897959183674
620,0.0,0.8879433819192856
940,0.0,0.8889383981285508
569,0.0,0.8899102829537612
940,0.0,0.8909071014334172
70,0.0,0.89181564170035
766,0.0,0.8927553380304416
121,0.0,0.8936363151437563
96,0.0,0.8944891051406811
11,0.0,0.895393977546952
6,0.0,0.8962332865095468
33,0.0,0.8970793126580319
708,0.0,0.8978625367976449
905,0.0,0.8986556885466697
950,0.0,0.899457960418505
40,0.0,0.9001801260882618
49,0.0,0.9009288694615537
79,0.0,0.9016514666009366
717,0.0,0.9023882934468752
369,0.0,0.9031286436066848
836,0.0,0.9038021071919377
887,0.0,0.9044425817267393
12,0.0,0.9051006328210496
4,0.0,0.9057620071345885
78,0.0,0.9064171122994652
9,0.0,0.9071029343269679
15,0.0,0.90773926515134
595,0.0,0.9084039596683433
135,0.0,0.9090390712314395
18,0.0,0.9096612011957604
97,0.0,0.9102789023841655
371,0.0,0.9108399812294697
662,0.0,0.9114500088794175
853,0.0,0.9120215205503617
44,0.0,0.9125881785917714
247,0.0,0.9131722185935118
585,0.0,0.9137371902970554
330,0.0,0.9143041237113402
207,0.0,0.9148631920433687
64,0.0,0.9153922837084014
509,0.0,0.9159290170291687
22,0.0,0.9164747267473512
949,0.0,0.9169995838535164
529,0.0,0.9175330177955067
821,0.0,0.918012575514733
863,0.0,0.918505352619106
209,0.0,0.9189984973398855
12,0.0,0.9194915254237288
131,0.0,0.9199719129300833
162,0.0,0.9204595316925286
37,0.0,0.9209117938553023
32,0.0,0.921366914981672
135,0.0,0.9218621419334614
641,0.0,0.9223295299661202
420,0.0,0.9227717023129778
958,0.0,0.9232412664806082
285,0.0,0.9236699634610602
7,0.0,0.9240723120837298
221,0.0,0.9245079485238455
26,0.0,0.9248941176470589
72,0.0,0.9253052205827279
18,0.0,0.9257052415976166
15,0.0,0.9261214208986184
218,0.0,0.9265282817306099
113,0.0,0.9269070125302264
231,0.0,0.9273128154667541
411,0.0,0.9277274374773469
36,0.0,0.9280795991203721
914,0.0,0.9284266054222813
53,0.0,0.9287957741451924
218,0.0,0.9291903409090909
266,0.0,0.9295515956413472
982,0.0,0.9298954581393306
932,0.0,0.9302154750244858
342,0.0,0.9305758651904463
582,0.0,0.930934205743366
268,0.0,0.9312911340064092
92,0.0,0.9316253962813812
175,0.0,0.9319720928645754
242,0.0,0.9323155216284987
49,0.0,0.9326612971311822
263,0.0,0.9330265676955631
147,0.0,0.9333389023473394
76,0.0,0.9336714333222481
5,0.0,0.9339797471705606
28,0.0,0.9343082522273274
38,0.0,0.93462660156634
1,1.0,0.9349407811021566
1,1.0,0.9352550680884907
67,0.0,0.935554730024389
11,0.0,0.9358924897119342
6,0.0,0.9361814430351402
2,0.0,0.9364710377989364
1,1.0,0.9367379619793565
4,0.0,0.9370036471572698
37,0.0,0.9372986057624295
3,0.0,0.9375625938908363
49,0.0,0.9378330373001776
8,0.0,0.9380993761832346
6,0.0,0.9384373021143837
7,0.0,0.9387137413962635
44,0.0,0.9389833618791289
30,0.0,0.939269837403325
19,0.0,0.9395234630774827
26,0.0,0.939791405672196
25,0.0,0.9400718116671424
76,0.0,0.9403282023665276
