N=1000,graph=cal,method=gmla,r=0.1,beta=0.95,modify_type=hide,dj=0.1,reconstruct_type=ra
k,prec,prec_err,rank,rank_err,css
0,0.5003333333333333,0.015701088843055575,280.907,14.337563812834006,1017.0
155,0.5179166666666666,0.015661811547584885,279.022,14.30333488753252,1017.0
310,0.5244166666666666,0.01567697833110828,268.891,14.133695499318904,1016.0
620,0.5440833333333334,0.015608990296559173,263.082,14.02359713313787,1016.0
1241,0.5280833333333332,0.015629968012338773,265.328,14.054873741584869,1016.0
