N=500,graph=email,method=pearson,r=0.3,beta=0.95,modify_type=hide,dj=0.2,reconstruct_type=ra
k,prec,std_err
0,0.781,0.01674730658610845
545,0.762,0.017266777828143454
1090,0.752,0.017695147257735543
2180,0.6695,0.019922767545365448
