N=200,graph=ba,method=pearson,r=0.2,beta=0.5,graph_args=Dict(:n0 => 4, :k => 4, :V => 1000),modify_type=add,dj=0.2,reconstruct_type=cn,hide_thresh=401,add_thresh=1
rank,precision,dj
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
34,0.0,0.0
14,0.0,0.0
4,0.0,0.0
3,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
116,0.0,0.0
2,0.0,0.0
6,0.0,0.0
1,1.0,0.0
1,1.0,0.0
14,0.0,0.0
1,1.0,0.0
1,1.0,0.0
79,0.0,0.0
2,0.0,0.0
8,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
4,0.0,0.0
2,0.0,0.0
7,0.0,0.0
5,0.0,0.0
20,0.0,0.0
9,0.0,0.0
14,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
3,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
13,0.0,0.0
2,0.0,0.0
10,0.0,0.0
2,0.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
15,0.0,0.0
148,0.0,0.0
4,0.0,0.0
13,0.0,0.0
1,1.0,0.0
4,0.0,0.0
2,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
12,0.0,0.0
20,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
7,0.0,0.0
3,0.0,0.0
3,0.0,0.0
83,0.0,0.0
1,1.0,0.0
17,0.0,0.0
1,1.0,0.0
34,0.0,0.0
2,0.0,0.0
2,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
23,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
6,0.0,0.0
19,0.0,0.0
1,1.0,0.0
66,0.0,0.0
1,1.0,0.0
5,0.0,0.0
1,1.0,0.0
1,1.0,0.0
3,0.0,0.0
8,0.0,0.0
285,0.0,0.0
1,1.0,0.0
2,0.0,0.0
5,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
20,0.0,0.0
2,0.0,0.0
35,0.0,0.0
1,1.0,0.0
3,0.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
12,0.0,0.0
5,0.0,0.0
1,1.0,0.0
2,0.0,0.0
15,0.0,0.0
4,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
4,0.0,0.0
1,1.0,0.0
38,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
3,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
22,0.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
4,0.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
3,0.0,0.0
5,0.0,0.0
3,0.0,0.0
62,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
3,0.0,0.0
1,1.0,0.0
1,1.0,0.0
10,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
12,0.0,0.0
4,0.0,0.0
4,0.0,0.0
1,1.0,0.0
387,0.0,0.0
1,1.0,0.0
19,0.0,0.0
1,1.0,0.0
1,1.0,0.0
1,1.0,0.0
2,0.0,0.0
12,0.0,0.0
1,1.0,0.0
1,1.0,0.0
5,0.0,0.0
