N=1000,graph=email,method=gmla,r=0.1,beta=0.75,modify_type=hide,dj=0.5,reconstruct_type=ra
k,prec,prec_err,rank,rank_err,css
0,0.024583333333333336,0.004482115593503456,612.596,15.221310425685271,1000.0
681,0.036950000000000004,0.005602998401846203,578.575,15.411286907300738,999.0
1363,0.04716666666666666,0.006541430890552438,575.766,15.417557534328331,999.0
2726,0.05308333333333333,0.006744226327416817,530.924,15.516479993071087,998.0
5451,0.06961666666666666,0.007924079314180408,517.395,15.492714002464583,998.0
