N=1000,graph=email,method=gmla,r=0.1,beta=0.5,modify_type=hide,dj=0.2,reconstruct_type=srw
k,prec,prec_err,rank,rank_err,css
0,0.08641666666666666,0.008434335774938587,478.151,16.94365077250179,1093.0
273,0.08458333333333333,0.008391842896161754,459.854,16.84979781393149,1093.0
545,0.08136666666666667,0.008296717622112908,461.25,16.851696032125645,1093.0
1090,0.07644999999999999,0.008113181941829063,456.82,16.793612446969803,1093.0
2180,0.07766666666666668,0.008183239569650808,428.213,16.551880206471086,1093.0
