N=1000,graph=email,method=lptva,r=0.1,beta=0.5,modify_type=hide,dj=0.4,reconstruct_type=ra
k,prec,prec_err,rank,rank_err,css
0,0.03433333333333333,0.0055644673267046234,175.596,7.512030976599697,224.0
545,0.04116666666666667,0.005973961499187246,172.28,7.632464484955965,230.0
1090,0.03825,0.005842394292674117,171.659,7.616433599774884,224.25
2180,0.03208333333333333,0.00526833555558042,175.693,7.6882462161978715,223.25
4361,0.04578333333333333,0.0064155012396660115,178.061,7.658146805297708,238.25
