N=50,graph=ba,method=pearson,r=0.2,beta=0.5,graph_args=Dict(:n0 => 4, :k => 4, :V => 1000),modify_type=add,dj=0.2,reconstruct_type=cn,hide_thresh=101,add_thresh=401
rank,precision,dj
14,0.0,0.2492000752870318
1,1.0,0.29323175053153794
6,0.0,0.33188211654387145
76,0.0,0.3660629170638704
187,0.0,0.39803773584905655
3,0.0,0.42546449661529595
6,0.0,0.45056458275957034
50,0.0,0.47333685322069696
111,0.0,0.49519109086307267
4,0.0,0.5155452999757104
22,0.0,0.5338240448650543
18,0.0,0.5509905447996398
68,0.0,0.566304347826087
149,0.0,0.5811193951485876
127,0.0,0.5952284263959391
97,0.0,0.607746755800236
334,0.0,0.6201085404170237
336,0.0,0.6313065976714101
375,0.0,0.6419919246298789
118,0.0,0.6524050191704427
192,0.0,0.6618357487922706
131,0.0,0.6707931006024593
30,0.0,0.6794469897918174
23,0.0,0.687578320802005
28,0.0,0.6953799159984727
2,0.0,0.7029120428986371
1,1.0,0.7101133391455972
3,0.0,0.7171029297013549
2,0.0,0.7236267922698622
23,0.0,0.7298157680845299
1,1.0,0.7356877816061489
12,0.0,0.7416429126716766
18,0.0,0.7472576247542959
3,0.0,0.7526968381897086
1,1.0,0.757818667638307
3,0.0,0.7625
28,0.0,0.7669256381798002
38,0.0,0.771377808344796
370,0.0,0.7755905511811023
2,0.0,0.7796067167476801
470,0.0,0.7835403895187978
325,0.0,0.7872987096086168
5,0.0,0.791044776119403
73,0.0,0.7945628668520235
57,0.0,0.7979951397326853
480,0.0,0.801314937490661
497,0.0,0.8044213518945149
279,0.0,0.8074603098007045
543,0.0,0.8104267655165859
119,0.0,0.8133333333333334
