N=10,graph=fb,method=gmla,r=0.3,beta=0.95,modify_type=hide,dj=0.1,reconstruct_type=rwr
k,prec,std_err
0,0.6,0.14529663145135577
80,0.55,0.15723301886761004
160,0.55,0.15723301886761004
