N=1000,graph=cal,method=pearson,r=0.1,beta=0.95,modify_type=hide,dj=0.3,reconstruct_type=srw
k,prec,prec_err,rank,rank_err,css
0,0.6281666666666668,0.01471151328271541,23.036,3.106607106106549,3.0
465,0.5973333333333334,0.014941069871405989,26.192,3.3480562445419895,3.0
931,0.5483666666666667,0.015190302819370938,27.764,3.4348033681971053,4.0
1862,0.44956666666666667,0.015309629405387586,31.424,3.489856346803021,7.0
3723,0.3225,0.014391578586133885,40.183,3.7420781204645723,19.25
