N=50,graph=ba,method=pearson,r=0.2,beta=0.5,graph_args=Dict(:n0 => 4, :k => 4, :V => 1000),modify_type=add,dj=0.2,reconstruct_type=cn,hide_thresh=1,add_thresh=1601
rank,precision,dj
1,1.0,0.37995337995337997
1,1.0,0.49314024390243905
1,1.0,0.5705059203444565
1,1.0,0.6274161919880474
1,1.0,0.6711188061670377
40,0.0,0.7052087181381603
363,0.0,0.733195104006421
503,0.0,0.7559931506849316
75,0.0,0.7752745705435089
257,0.0,0.7913507294880511
4,0.0,0.8052803669903861
8,0.0,0.8175332693099191
96,0.0,0.8284608770421324
109,0.0,0.8381667004664368
16,0.0,0.8467388799262503
2,0.0,0.8543423502354617
1,1.0,0.8612222183576224
17,0.0,0.86736254238415
1,1.0,0.8730512249443207
1,1.0,0.8782534403319806
6,0.0,0.8830460780865284
6,0.0,0.8875327677086563
2,0.0,0.8916379240107547
20,0.0,0.8954265496003145
28,0.0,0.8990001265662575
228,0.0,0.9022633744855967
500,0.0,0.9054233431307481
160,0.0,0.9083243342600464
401,0.0,0.9110427396160792
566,0.0,0.913625146122873
607,0.0,0.9160671462829736
42,0.0,0.9183514774494557
502,0.0,0.9204989240455885
515,0.0,0.9225453274837908
164,0.0,0.9244933103722347
444,0.0,0.9263049019245687
235,0.0,0.9280290048521799
603,0.0,0.9296643632773939
652,0.0,0.9312981042409215
970,0.0,0.932761497109924
13,0.0,0.9341681928426471
4,0.0,0.9354922154139653
2,0.0,0.9367950830059562
7,0.0,0.9380780929914955
3,0.0,0.939249988580825
218,0.0,0.9404121863799283
14,0.0,0.9415170392085013
369,0.0,0.9425990131058394
53,0.0,0.9436201780415431
2,0.0,0.9446256331968635
