N=1000,graph=fb,method=gmla,r=0.1,beta=0.95,modify_type=hide,dj=0.3,reconstruct_type=ml
k,prec,std_err
481,0.2886666666666666,0.014141030603329519
963,0.3016666666666667,0.014254350909570963
1925,0.3324166666666667,0.0146315172341884
3851,0.3104166666666666,0.014342777411470416
