N=1000,graph=cal,method=lptva,r=0.1,beta=0.5,modify_type=hide,dj=0.3,reconstruct_type=srw
k,prec,prec_err,rank,rank_err,css
0,0.04633333333333333,0.00655799822156177,182.629,6.838959769565086,276.5
465,0.03916666666666667,0.005955977511085566,207.523,7.178263922700526,314.25
931,0.03491666666666667,0.0056654784667641706,218.881,7.477456331680727,329.0
1862,0.03458333333333333,0.0057017641376110656,230.091,7.784293156025083,362.25
3723,0.033083333333333326,0.005418345008330123,239.473,7.937265489729726,372.25
