N=300,graph=email,method=pearson,r=0.1,beta=0.95,modify_type=hide,dj=0.4,reconstruct_type=srw
k,prec,std_err
545,0.38472222222222224,0.026842653485862827
1090,0.3416666666666667,0.02631262327175114
2180,0.24538888888888888,0.02372971414004336
4361,0.17861111111111108,0.02124288389142605
