N=1000,graph=fb,method=pearson,r=0.1,beta=0.95,modify_type=hide,dj=0.6,reconstruct_type=srw
k,prec,prec_err,rank,rank_err,css
0,0.20341666666666666,0.012502507534054257,54.527,4.3801679353812615,28.0
963,0.20083333333333334,0.012376601455849278,57.921,4.428219720032971,32.0
1925,0.2095333333333333,0.012579287147203468,58.844,4.479115329854562,35.0
3851,0.15083333333333332,0.011116083722126118,65.15,4.517144019188463,46.0
7702,0.10858333333333332,0.009711380699043187,74.496,4.617126795296383,65.0
