N=100,graph=fb,method=pearson,r=0.3,beta=0.95,modify_type=hide,dj=0.4,reconstruct_type=rwr
k,prec,std_err
0,0.725,0.04286165199944132
1284,0.685,0.0458670674753453
2567,0.64,0.048241815132442176
5134,0.4,0.0492365963917331
