N=1000,graph=email,method=pearson,r=0.1,beta=0.75,modify_type=hide,dj=0.3,reconstruct_type=ra
k,prec,prec_err,rank,rank_err,css
0,0.3581166666666667,0.014662895659460707,48.661,5.5578735175458105,10.0
409,0.34581666666666666,0.014369482847865236,52.461,5.760710917002282,12.0
818,0.30448333333333333,0.013948885818668415,54.364,5.836628113194442,13.0
1635,0.2537833333333333,0.01328630209363476,53.018,5.506054877706571,17.0
3271,0.18386666666666665,0.011804432037452624,57.32,5.653382556871094,25.0
