N=1000,graph=fb,method=gmla,r=0.1,beta=0.75,modify_type=hide,dj=0.4,reconstruct_type=ra
k,prec,prec_err,rank,rank_err,css
0,0.09058333333333335,0.008946972624999243,360.775,12.165650637365454,783.0
642,0.11083333333333333,0.009781245119585884,336.791,12.071316415329314,782.0
1284,0.11016666666666666,0.00974322627449521,316.944,11.950398859322515,782.0
2567,0.12533333333333335,0.01026359300349256,299.252,11.79384421031825,782.0
5134,0.093,0.009023992045233225,271.177,11.419127906856689,781.0
