N=1000,graph=cal,method=lptva,r=0.1,beta=0.5,modify_type=hide,dj=0.1,reconstruct_type=ra
k,prec,prec_err,rank,rank_err,css
0,0.08683333333333333,0.00885434824344229,140.833,6.415477180885182,193.0
155,0.07933333333333333,0.008478751238000157,146.978,6.554678735783266,203.0
310,0.07333333333333333,0.00814245865610011,150.722,6.574028336154671,224.25
620,0.06383333333333333,0.00763837426603952,158.25,6.842040120681332,237.25
1241,0.07233333333333333,0.008120649293310541,162.14,6.871288307370243,235.0
