N=1000,graph=cal,method=lptva,r=0.1,beta=0.75,modify_type=hide,dj=0.6,reconstruct_type=srw
k,prec,prec_err,rank,rank_err,css
0,0.020166666666666663,0.004310929353360762,217.379,7.382379757902588,329.25
931,0.014333333333333333,0.0036632070310615946,235.81,7.697983167352658,366.25
1862,0.02408333333333333,0.004622225560896231,245.203,7.884189637320834,392.0
3723,0.0192,0.0042649208139834876,242.513,7.829241524812851,397.25
7446,0.033166666666666664,0.005406918026040167,252.394,7.845956142612052,409.25
