N=128,graph=email,method=pearson,r=0.15,beta=0.5
rank,precision
2,0.0
2,0.5
1,1.0
1,1.0
15,0.0
4,0.0
1,1.0
6,0.0
1,1.0
1,1.0
3,0.0
2,0.0
3,0.0
2,0.0
1,1.0
1,1.0
2,0.0
1,1.0
103,0.0
27,0.0
3,0.0
2,0.0
2,0.5
1,1.0
9,0.0
14,0.0
23,0.0
2,0.5
4,0.0
1,1.0
26,0.0
2,0.0
19,0.0
1,1.0
3,0.0
1,1.0
1,1.0
1,1.0
3,0.0
1,1.0
17,0.0
6,0.0
18,0.0
3,0.0
1,1.0
1,1.0
61,0.0
1,1.0
1,1.0
3,0.0
7,0.0
1,1.0
11,0.0
2,0.0
2,0.0
11,0.0
4,0.0
1,1.0
7,0.0
251,0.0
2,0.0
1,1.0
2,0.0
2,0.0
6,0.0
11,0.0
41,0.0
12,0.0
6,0.0
5,0.0
5,0.0
1,1.0
2,0.5
12,0.0
2,0.0
1,1.0
1,1.0
1,1.0
2,0.5
9,0.0
1,1.0
1,1.0
1,1.0
1,1.0
90,0.0
3,0.0
2,0.3333333333333333
18,0.0
5,0.0
1,1.0
1,1.0
40,0.0
1,1.0
10,0.0
1,1.0
4,0.0
19,0.0
2,0.0
1,1.0
18,0.0
1,0.5
14,0.0
9,0.0
1,1.0
1,1.0
1,1.0
1,1.0
1,1.0
1,0.5
1,1.0
2,0.0
1,1.0
3,0.0
6,0.0
1,1.0
1,1.0
2,0.0
1,1.0
1,1.0
65,0.0
1,1.0
4,0.0
5,0.0
1,1.0
1,1.0
4,0.0
2,0.0
3,0.0
