N=1000,graph=ba,method=lptva,r=0.1,beta=0.75,modify_type=hide,dj=0.5,reconstruct_type=ra
k,prec,prec_err,rank,rank_err,css
0,0.0342,0.0056923424671011125,189.176,6.943542165336206,289.5
499,0.037033333333333335,0.005879133230406861,196.466,7.161259699555972,301.75
998,0.03891666666666666,0.005983813274081742,202.541,7.280016136929503,323.0
1995,0.04383333333333333,0.0063624075812722175,198.482,7.285601393410408,309.25
3990,0.06047619047619048,0.007476968283641342,188.208,7.303618800538784,283.0
