N=1000,graph=fb,method=pearson,r=0.1,beta=0.95,modify_type=hide,dj=0.3,reconstruct_type=ra
k,prec,prec_err,rank,rank_err,css
0,0.7115833333333333,0.013994711719888668,11.122,2.14495733243297,2.0
481,0.7065833333333332,0.014047037294631089,10.526,2.072999433345473,2.0
963,0.65475,0.01469827575409704,11.399,2.180425659144346,2.0
1925,0.5965833333333332,0.015124634903688042,12.774,2.1981116028579204,3.0
3851,0.4116666666666666,0.015345626935509078,15.715,2.1618347079053715,7.0
